tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp,is_sar,alert_id
1,50,62,WIRE,234.08,2011-01-01T00:00:00Z,True,0
2,80,77,TRANSFER,979.21,2011-01-01T00:00:00Z,False,-1
3,28,35,DEPOSIT,517.5,2011-01-01T00:00:00Z,False,-1
4,22,62,CREDIT,302.33,2011-01-01T00:00:00Z,False,-1
5,33,43,CREDIT,394.91,2011-01-01T00:00:00Z,False,-1
6,29,28,CREDIT,214.61,2011-01-01T00:00:00Z,True,1
7,97,93,DEPOSIT,146.77,2011-01-01T00:00:00Z,False,-1
8,9,23,CREDIT,608.62,2011-01-01T00:00:00Z,False,-1
9,79,95,CREDIT,201.63,2011-01-01T00:00:00Z,True,2
10,10,41,DEPOSIT,166.77,2011-01-01T00:00:00Z,False,-1
11,98,81,DEPOSIT,561.58,2011-01-01T00:00:00Z,False,-1
12,69,17,WIRE,124.82,2011-01-01T00:00:00Z,False,-1
13,16,83,CREDIT,956.41,2011-01-01T00:00:00Z,False,-1
14,18,91,CREDIT,216.68,2011-01-02T00:00:00Z,False,-1
15,92,39,CREDIT,915.38,2011-01-02T00:00:00Z,False,-1
16,90,7,DEPOSIT,654.2,2011-01-02T00:00:00Z,False,-1
17,91,95,DEPOSIT,953.05,2011-01-02T00:00:00Z,False,-1
18,29,39,CREDIT,546.36,2011-01-02T00:00:00Z,False,-1
19,13,95,DEPOSIT,360.19,2011-01-02T00:00:00Z,False,-1
20,11,26,DEPOSIT,247.74,2011-01-02T00:00:00Z,False,-1
21,53,32,WIRE,452.69,2011-01-02T00:00:00Z,False,-1
22,0,27,DEPOSIT,383.75,2011-01-02T00:00:00Z,False,-1
23,49,31,CREDIT,408.46,2011-01-02T00:00:00Z,False,-1
24,87,72,CREDIT,879.26,2011-01-02T00:00:00Z,False,-1
25,19,97,DEPOSIT,630.63,2011-01-02T00:00:00Z,False,-1
26,12,57,DEPOSIT,229.34,2011-01-02T00:00:00Z,False,-1
27,16,44,DEPOSIT,891.44,2011-01-02T00:00:00Z,False,-1
28,99,98,DEPOSIT,692.79,2011-01-02T00:00:00Z,False,-1
29,62,5,CREDIT,821.21,2011-01-02T00:00:00Z,False,-1
30,89,86,DEPOSIT,833.39,2011-01-03T00:00:00Z,False,-1
31,94,49,WIRE,997.52,2011-01-03T00:00:00Z,False,-1
32,3,47,CREDIT,334.47,2011-01-03T00:00:00Z,False,-1
33,55,0,CREDIT,300.95,2011-01-03T00:00:00Z,False,-1
34,77,65,WIRE,504.42,2011-01-03T00:00:00Z,False,-1
35,3,47,CREDIT,548.35,2011-01-03T00:00:00Z,False,-1
36,20,92,CREDIT,314.55,2011-01-03T00:00:00Z,False,-1
37,4,24,DEPOSIT,204.45,2011-01-03T00:00:00Z,False,-1
38,10,41,DEPOSIT,621.65,2011-01-03T00:00:00Z,False,-1
39,9,38,DEPOSIT,580.49,2011-01-03T00:00:00Z,False,-1
40,17,70,CREDIT,493.48,2011-01-03T00:00:00Z,False,-1
41,6,25,TRANSFER,931.27,2011-01-03T00:00:00Z,False,-1
42,56,20,CREDIT,719.86,2011-01-03T00:00:00Z,False,-1
43,13,34,CREDIT,613.53,2011-01-04T00:00:00Z,False,-1
44,83,94,DEPOSIT,943.26,2011-01-04T00:00:00Z,False,-1
45,76,44,DEPOSIT,480.91,2011-01-04T00:00:00Z,False,-1
46,59,7,DEPOSIT,649.25,2011-01-04T00:00:00Z,False,-1
47,71,29,TRANSFER,451.15,2011-01-04T00:00:00Z,False,-1
48,79,17,DEPOSIT,663.28,2011-01-04T00:00:00Z,False,-1
49,6,30,CREDIT,642.79,2011-01-05T00:00:00Z,False,-1
50,66,7,DEPOSIT,826.9,2011-01-05T00:00:00Z,False,-1
51,2,58,DEPOSIT,843.75,2011-01-05T00:00:00Z,False,-1
52,1,49,DEPOSIT,178.31,2011-01-05T00:00:00Z,False,-1
53,86,93,CREDIT,422.08,2011-01-05T00:00:00Z,False,-1
54,52,35,CREDIT,656.31,2011-01-05T00:00:00Z,False,-1
55,63,33,DEPOSIT,984.43,2011-01-05T00:00:00Z,False,-1
56,72,39,WIRE,824.73,2011-01-05T00:00:00Z,False,-1
57,20,29,DEPOSIT,923.49,2011-01-05T00:00:00Z,False,-1
58,74,11,CREDIT,670.46,2011-01-05T00:00:00Z,False,-1
59,8,61,CREDIT,673.13,2011-01-05T00:00:00Z,False,-1
60,17,42,CREDIT,898.19,2011-01-05T00:00:00Z,False,-1
61,19,28,CREDIT,135.92,2011-01-05T00:00:00Z,False,-1
62,50,2,DEPOSIT,400.86,2011-01-05T00:00:00Z,False,-1
63,15,64,CREDIT,889.0,2011-01-05T00:00:00Z,False,-1
64,81,54,WIRE,625.68,2011-01-05T00:00:00Z,False,-1
65,5,33,WIRE,378.53,2011-01-05T00:00:00Z,False,-1
66,60,17,DEPOSIT,153.3,2011-01-05T00:00:00Z,False,-1
67,23,37,CREDIT,663.83,2011-01-05T00:00:00Z,False,-1
68,11,74,WIRE,831.68,2011-01-05T00:00:00Z,False,-1
69,73,3,WIRE,689.99,2011-01-05T00:00:00Z,False,-1
70,88,26,CREDIT,930.45,2011-01-06T00:00:00Z,False,-1
71,75,96,DEPOSIT,586.57,2011-01-06T00:00:00Z,False,-1
72,54,28,CREDIT,239.62,2011-01-06T00:00:00Z,False,-1
73,84,75,DEPOSIT,665.19,2011-01-06T00:00:00Z,False,-1
74,11,46,TRANSFER,769.56,2011-01-06T00:00:00Z,False,-1
75,6,25,TRANSFER,621.49,2011-01-06T00:00:00Z,False,-1
76,5,62,WIRE,721.75,2011-01-06T00:00:00Z,False,-1
77,15,32,WIRE,706.95,2011-01-06T00:00:00Z,False,-1
78,0,27,DEPOSIT,359.63,2011-01-06T00:00:00Z,False,-1
79,51,30,DEPOSIT,671.28,2011-01-06T00:00:00Z,False,-1
80,67,35,CREDIT,401.62,2011-01-06T00:00:00Z,False,-1
81,65,24,WIRE,733.92,2011-01-06T00:00:00Z,False,-1
82,57,8,CREDIT,631.65,2011-01-06T00:00:00Z,False,-1
83,58,2,DEPOSIT,361.62,2011-01-06T00:00:00Z,False,-1
84,14,20,CREDIT,957.41,2011-01-06T00:00:00Z,False,-1
85,1,61,CREDIT,970.74,2011-01-06T00:00:00Z,False,-1
86,68,34,WIRE,860.04,2011-01-07T00:00:00Z,False,-1
87,7,66,CREDIT,567.72,2011-01-07T00:00:00Z,False,-1
88,21,40,WIRE,719.3,2011-01-07T00:00:00Z,False,-1
89,96,85,WIRE,808.18,2011-01-07T00:00:00Z,False,-1
90,93,71,WIRE,288.5,2011-01-07T00:00:00Z,False,-1
91,61,1,DEPOSIT,763.55,2011-01-07T00:00:00Z,False,-1
92,21,44,CREDIT,534.27,2011-01-07T00:00:00Z,False,-1
93,82,99,CREDIT,646.28,2011-01-07T00:00:00Z,False,-1
94,14,48,WIRE,668.44,2011-01-07T00:00:00Z,False,-1
95,95,35,CREDIT,670.34,2011-01-07T00:00:00Z,False,-1
96,23,20,DEPOSIT,232.98,2011-01-07T00:00:00Z,False,-1
97,78,77,CREDIT,957.91,2011-01-07T00:00:00Z,False,-1
98,24,26,CREDIT,156.69,2011-01-07T00:00:00Z,False,-1
99,85,95,DEPOSIT,647.21,2011-01-07T00:00:00Z,False,-1
100,64,15,DEPOSIT,932.36,2011-01-07T00:00:00Z,False,-1
101,70,9,CREDIT,852.07,2011-01-07T00:00:00Z,False,-1
102,38,45,CREDIT,373.62,2011-01-07T00:00:00Z,False,-1
103,30,36,CREDIT,976.0,2011-01-07T00:00:00Z,False,-1
104,39,35,CREDIT,424.63,2011-01-08T00:00:00Z,False,-1
105,16,98,DEPOSIT,874.12,2011-01-08T00:00:00Z,False,-1
106,97,10,CREDIT,254.76,2011-01-08T00:00:00Z,False,-1
107,9,70,DEPOSIT,582.42,2011-01-08T00:00:00Z,False,-1
